Nombre_Nuevo_Excel,Mejor_Coincidencia_Sistema_Actual,Nivel_de_Confianza_Porcentaje,Sheet_Origen
FR-6000 6000 BUJE SUPLEMENTO DE CARGA PARA TOYOTA HILUX KIT X2,INY-F006ACE4,24,INYECCION
FR-6000R 6000R BUJE SUPLEMENTO DE CARGA PARA TOYOTA HILUX (REPUESTO).,INY-F006ACE4,23,INYECCION
FR-9001 9001 BUJE CONICO TRAILER GRANDE,INY-0B819CCD,31,INYECCION
FR-9002 9002 BUJE TRAILER INCA CONICO,INY-0429A0DB,33,INYECCION
FR-9003 9003 BUJE TRAILER QUINTA RUEDA,FR-9303 / CB9721,35,FICHAS_INT_CAR
FR-9004 9004 BUJE QUINTA RUEDA HOLAND HUECO PEQUEÑO,INY-44B0CBEE,29,INYECCION
FR-9006 9006 BUJE QUINTA RUEDA HOLLAND,INY-9086E6A4,32,INYECCION
FR-9007 9007 BUJE PARA BARRA DE TORSION OEM 44695,INY-44B0CBEE,30,INYECCION
FR-9008 9008 BUJE CORBATIN PARA BARRA DE TORSION 47691,INY-14B68DEA,27,INYECCION
FR-9301 9301 BUJE TORNILLO  AMORTIGUADOR Y ESTABILIZADORA TIPO UNIVERSAL SIN PESTAÑA,INY-3603DDEB,21,INYECCION
FR-9302 9302 BUJE PARA TORNILLO DE BARRA ESTABILIZADORA TIPO UNIVERSAL CON PESTAÑA,FR-9303 / CB9721,21,FICHAS_INT_CAR
FR-9303 9303 BUJE MUELLE PARA TOYOTA LAND CRUISER DELANTERO Y TRASERO,INY-8CDEAEEE,22,INYECCION
FR-9304 9304 BUJE DE MUELLE BALANCIN PARA CHEVROLET LUV,FR-9303 / CB9721,29,FICHAS_INT_CAR
FR-9305 9305 BUJE DE MUELLE HULE BALANCIN PARA SUZUKI SAMURAI Y CARRY,FR-9303 / CB9721,24,FICHAS_INT_CAR
FR-9306 9306 BUJE MUELLE HULE BALANCIN PARA ISUZO NKR PARTE TRASERA,FR-9303 / CB9721,25,FICHAS_INT_CAR
FR-9306HD 9306HD BUJE MUELLE HOJA NKR CON BUJE INTERNO METALICO TRABAJO PESADO,FR-9306HD,21,FICHAS_INT_CAR
FR-9306HDR 9306HDR BUJE MUELLE NKR CARCAZA Y BUJE INTERNO METALICO,FR-9306HDR,26,FICHAS_INT_CAR
FR-9307 9307 BUJE MUELLE TOYOTA HILUX LARGO,FR-9303 / CB9721,32,FICHAS_INT_CAR
FR-9308 9308 BUJE DE MUELLE PARA SUZUKI ZAMURAI GRUESO,FR-9303 / CB9721,26,FICHAS_INT_CAR
FR-9309 9309 BUJE MUELLE HULE DE BALANCIN PARA TOYOTA LAND CRUISER,INY-73993ABB,26,INYECCION
FR-9310 9310 BUJE PARTE FIJA NISSAN D/21/ CHEVROLET LUV1600,INY-9939AF1F,26,INYECCION
